Cab ID,Timestamp,Hour,Day of Week,Day of Month,Month,Is Weekend,Is Holiday,Dynamic Multiplier,Base Fare,Final Fare,Booking Location,Dropoff Location,Temperature (°C),Precipitation (mm),Traffic Congestion Level,Event,Number of Cancellations,Number of Bookings,num_drivers_available,Target
1001,2024-04-01 19:18:27,19,0,1,4,0,0,1.0422756804356734,27.150000000000002,28.297784723828535,Banashankari,Electronic City,26.6,4.6,2,0,22,22,19,0
1002,2024-02-24 02:14:17,2,5,24,2,1,1,1.0232058150338623,19.695,20.152038527091918,Hebbal,Yelahanka,22.1,6.6,2,0,0,2,20,0
1003,2024-05-04 12:06:19,12,5,4,5,1,1,1.1555920530477708,27.974999999999998,32.32768768401139,Kengeri,Yelahanka,15.0,16.7,4,0,9,16,2,1
1004,2024-05-30 13:25:14,13,3,30,5,0,0,1.210892998291655,21.674999999999997,26.246105737971618,Rajajinagar,Shivajinagar,34.1,2.9,1,0,22,22,10,0
1005,2024-03-04 15:17:57,15,0,4,3,0,0,1.0892400046303632,21.345,23.2498278988351,BTM Layout,Electronic City,25.4,17.2,2,0,16,16,6,0
1006,2024-03-23 07:22:22,7,5,23,3,1,1,0.9707757864440116,12.375,12.013350357244644,Electronic City,Jayanagar,17.6,7.3,3,0,7,22,4,0
1007,2024-01-19 06:43:45,6,4,19,1,0,0,1.3875779879509884,25.77,35.757884749496974,Electronic City,Kengeri,23.2,1.9,2,1,1,19,5,0
1008,2024-06-01 19:41:27,19,5,1,6,1,1,1.4637315316181891,13.575000000000001,19.87015554171692,Shivajinagar,Vijayanagar,23.8,0.9,3,0,0,1,6,0
1009,2024-04-13 17:36:08,17,5,13,4,1,1,2.4439594261292767,13.424999999999999,32.810155295785535,Basavanagudi,Jayanagar,24.0,18.9,4,0,15,24,7,1
1010,2024-04-18 04:01:02,4,3,18,4,0,0,1.1612776896407162,7.14,8.291522704034714,HSR Layout,Rajajinagar,28.8,2.2,1,0,14,17,14,0
1011,2024-06-03 22:54:48,22,0,3,6,0,0,1.2129451147017507,7.785,9.44277771795313,Banashankari,JP Nagar,26.4,11.2,3,0,6,15,9,0
1012,2024-06-13 11:41:06,11,3,13,6,0,0,1.4759570567736882,27.705,40.89139025791503,Jayanagar,Banashankari,22.3,14.2,3,0,2,21,11,0
