Cab ID,Timestamp,Hour,Day of Week,Day of Month,Month,Is Weekend,Is Holiday,Dynamic Multiplier,Base Fare,Final Fare,Booking Location,Dropoff Location,Temperature (°C),Precipitation (mm),Traffic Congestion Level,Event,Number of Cancellations,Number of Bookings,num_drivers_available,Target
1001,2024-05-18 22:04:46,22,5,18,5,1,1,1.5731202924643288,5.91,9.297140928464184,Marathahalli,Bellandur,25.7,1.3,3,0,13,16,4,0
1002,2024-01-19 02:09:20,2,4,19,1,0,0,1.1945812694903153,13.845,16.538977676093417,Kengeri,Banashankari,32.5,19.1,2,0,6,10,19,0
1003,2024-02-20 22:55:51,22,1,20,2,0,0,1.183553630992577,17.955000000000002,21.25070544447172,Electronic City,Vijayanagar,23.8,5.9,3,0,0,1,10,0
1004,2024-02-03 07:31:18,7,5,3,2,1,1,1.3040011752256442,19.755,25.7605432165826,Shivajinagar,JP Nagar,26.2,10.1,1,0,8,13,14,0
1005,2024-02-18 06:01:34,6,6,18,2,1,1,1.0501890862691745,25.065,26.32298944733686,Kengeri,Rajajinagar,25.7,16.6,1,0,4,24,8,0
1006,2024-03-24 05:42:48,5,6,24,3,1,1,1.228955211285309,12.585,15.466401334025615,Basavanagudi,BTM Layout,22.5,17.3,4,0,5,22,11,1
1007,2024-03-11 19:27:46,19,0,11,3,0,0,1.165299600082634,17.64,20.555884945457663,Koramangala,Vijayanagar,30.7,15.2,1,0,6,14,3,0
1008,2024-06-06 20:56:03,20,3,6,6,0,0,1.3227968123922025,13.830000000000002,18.294279915384163,JP Nagar,Shivajinagar,20.2,17.5,4,0,1,24,5,1
1009,2024-02-26 14:02:01,14,0,26,2,0,0,1.113546087011997,11.625,12.944973261514466,Vijayanagar,Indiranagar,32.0,3.8,1,0,4,11,3,0
1010,2024-01-15 22:04:12,22,0,15,1,0,0,1.2047479212925079,11.25,13.553414114540713,Whitefield,Malleshwaram,26.4,9.6,2,0,7,7,11,0
1011,2024-03-09 16:04:16,16,5,9,3,1,1,1.6483702945020045,11.685,19.261206891255924,Hebbal,Rajajinagar,21.0,6.1,2,0,3,19,11,0
1012,2024-02-24 05:37:07,5,5,24,2,1,1,1.3877929758626426,16.634999999999998,23.085936153475057,Electronic City,BTM Layout,17.1,10.6,4,0,18,22,12,1
1013,2024-01-04 18:39:40,18,3,4,1,0,0,1.9456030324517357,15.195,29.563438078104124,Bellandur,Basavanagudi,27.9,16.5,1,0,6,13,17,0
1014,2024-01-07 12:41:28,12,6,7,1,1,1,1.0453136053683985,10.215,10.67787847883819,Koramangala,Kengeri,23.1,0.2,3,0,1,5,15,0
1015,2024-01-07 16:04:49,16,6,7,1,1,1,1.1474910273242376,8.385,9.621712264113732,HSR Layout,Hebbal,19.0,2.6,4,0,3,3,18,1
1016,2024-03-16 22:56:05,22,5,16,3,1,1,1.109666280376799,10.575,11.734720914984647,Hebbal,Banashankari,27.0,16.8,1,0,21,22,3,0
1017,2024-04-11 16:24:40,16,3,11,4,0,0,1.129410900868122,20.655,23.32798215743106,HSR Layout,Vijayanagar,24.1,11.2,4,0,6,16,17,1
1018,2024-05-12 16:08:12,16,6,12,5,1,1,0.9599823928072854,7.26,6.969472171780891,Kengeri,Malleshwaram,28.1,12.1,2,0,1,10,18,0
1019,2024-05-03 05:27:46,5,4,3,5,0,0,0.9344890559266972,17.82,16.652594976613745,Indiranagar,BTM Layout,26.1,13.2,2,0,18,22,15,0
1020,2024-04-06 07:05:14,7,5,6,4,1,1,1.384489148571429,10.215,14.142556652657147,JP Nagar,HSR Layout,24.3,19.9,4,0,0,1,15,1
1021,2024-06-02 19:02:44,19,6,2,6,1,1,1.301177366982805,8.55,11.125066487702984,HSR Layout,JP Nagar,31.0,5.0,2,0,0,23,5,0
1022,2024-01-13 03:50:54,3,5,13,1,1,1,1.0274187291934467,5.385,5.53264985670671,Electronic City,Rajajinagar,29.8,15.9,1,0,1,6,20,0
1023,2024-04-29 19:05:06,19,0,29,4,0,0,1.1451631051273212,23.655,27.088833251786784,BTM Layout,JP Nagar,23.4,8.2,4,0,19,20,16,1
1024,2024-06-10 08:58:24,8,0,10,6,0,0,1.5945001941382444,24.315,38.77027222047141,BTM Layout,Kengeri,29.6,7.0,1,0,0,12,18,0
1025,2024-05-12 23:40:10,23,6,12,5,1,1,1.261336933307904,24.78,31.255929207369864,Vijayanagar,Electronic City,20.5,16.2,2,0,7,15,20,0
1026,2024-03-22 05:07:43,5,4,22,3,0,0,1.422623122711319,24.855,35.359297714989836,Hebbal,Malleshwaram,16.2,18.9,4,1,0,5,5,1
1027,2024-02-05 12:53:40,12,0,5,2,0,0,1.3391146532929525,23.64,31.6566704038454,Electronic City,JP Nagar,18.9,10.8,3,0,14,23,16,0
1028,2024-04-06 19:55:50,19,5,6,4,1,1,1.3428195603395707,23.535,31.603258352591798,Banashankari,Marathahalli,15.6,17.2,4,0,6,16,8,1
1029,2024-05-31 01:43:10,1,4,31,5,0,0,1.0528701882507328,8.024999999999999,8.449283260712129,Ulsoor,Malleshwaram,29.3,0.7,2,0,1,2,14,0
1030,2024-05-14 18:38:53,18,1,14,5,0,0,1.4466057883235128,18.96,27.427645746613805,Shivajinagar,Koramangala,24.8,2.7,2,0,10,13,2,0
1031,2024-05-10 15:43:20,15,4,10,5,0,0,1.6040586099406617,28.935,46.413435878633045,Whitefield,Koramangala,21.7,9.0,2,0,2,21,10,0
1032,2024-06-07 18:01:58,18,4,7,6,0,0,2.4036614362863826,28.005000000000003,67.31453852320016,Rajajinagar,Basavanagudi,23.5,5.8,2,0,14,24,18,0
1033,2024-02-27 02:58:48,2,1,27,2,0,0,0.9790832180759441,22.89,22.41121486175836,Shivajinagar,Vijayanagar,18.3,7.7,3,0,3,16,5,0
1034,2024-04-18 04:39:17,4,3,18,4,0,0,1.2043999742719416,11.7,14.091479698981715,Indiranagar,Whitefield,20.3,17.6,2,0,10,11,15,0
1035,2024-05-07 03:18:41,3,1,7,5,0,0,1.2347438615338422,18.165,22.429122244762244,Indiranagar,Electronic City,24.7,13.8,4,0,3,14,16,1
1036,2024-05-29 09:21:45,9,2,29,5,0,0,1.509106278721415,28.335,42.76052640757129,Koramangala,JP Nagar,18.1,16.8,3,0,5,8,5,0
1037,2024-04-15 22:36:58,22,0,15,4,0,0,0.9353591789508258,15.735,14.717876680791242,Banashankari,Koramangala,21.4,14.7,2,0,8,15,12,0
1038,2024-06-09 11:49:14,11,6,9,6,1,1,1.0426810662764834,29.52,30.779945076481788,Whitefield,Hebbal,33.1,18.9,2,0,2,9,9,0
1039,2024-05-04 14:48:11,14,5,4,5,1,1,1.4655432077382207,5.46,8.001865914250684,Kengeri,Ulsoor,18.5,6.7,3,0,6,8,3,0
1040,2024-01-03 22:55:52,22,2,3,1,0,0,0.8470169356475421,15.075000000000001,12.768780304886699,JP Nagar,Whitefield,19.8,19.3,3,0,3,4,9,0
1041,2024-02-13 18:44:19,18,1,13,2,0,0,1.9269530195525975,27.900000000000002,53.761989245517476,Hebbal,Malleshwaram,26.0,4.0,1,0,1,18,6,0
1042,2024-04-29 04:54:39,4,0,29,4,0,0,1.095673972378949,25.125,27.528808556021094,Electronic City,Jayanagar,25.6,16.3,2,0,0,2,17,0
